seq_num,sel_id,sel_seg,sel_sent,sel_st,sel_en,Ch pt,L1,L2
30,847119_UYuWuH5EJEQtMQse_0114,UYuWuH5EJEQtMQse,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,839,850,59951,E,H
31,938272_PcVTlWq6JY6iFlT3_0075,PcVTlWq6JY6iFlT3,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,504,516,63037,E,H
32,987986_YKnaH2KpCSOvyNO2_0104,YKnaH2KpCSOvyNO2,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है इस मिशन पर अधिक जानकारी दिखाए गए लिंक पर उपलब्ध है,713,725,59097,E,H
36,353395_6spWbJWQGvifLYMD_0092,6spWbJWQGvifLYMD,spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाते हैं,452,455,14775,E,H
45,109686_HILoR2Or4G6QybRM_0068,HILoR2Or4G6QybRM,spoken tutorial project के बारे में अधिक जानने के लिए,436,439,21472,E,H
48,494039_OI5Q32YatBx45MDS_0071,OI5Q32YatBx45MDS,spoken tutorial project के बारे में अधिक जानने के लिए,550,553,15694,E,H
51,597487_iIgRmlEwK6duwlAt_0089,iIgRmlEwK6duwlAt,spoken tutorial project के बारे में अधिक जानने के लिए,573,576,16745,E,H
52,663512_ScaOkcrb6KnpjyUN_0095,ScaOkcrb6KnpjyUN,spoken tutorial project के बारे में अधिक जानने के लिए,653,656,21866,E,H
55,768596_BkTHUoyY4U6VCVvQ_0058,BkTHUoyY4U6VCVvQ,spoken tutorial project के बारे में अधिक जानने के लिए,412,415,17533,E,H
58,193949_kNy6anmVvg5h7xmA_0114,kNy6anmVvg5h7xmA,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,698,705,43667,E,H
60,349774_SRX8OfxyGfJKgki8_0164,SRX8OfxyGfJKgki8,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,993,1000,47191,E,H
61,350956_AdztwNlAtCku4h6b_0141,AdztwNlAtCku4h6b,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,811,816,41369,E,H
62,464941_FDv2zt12vIcud0pG_0153,FDv2zt12vIcud0pG,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,771,776,30206,E,H
63,518517_i7hdc0miWtsXu5vj_0146,i7hdc0miWtsXu5vj,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,864,871,38304,E,H
64,521943_vEBgBDkd2xef1Ap4_0127,vEBgBDkd2xef1Ap4,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,696,701,38742,E,H
65,592721_cRdDo8XAPDziTOrE_0092,cRdDo8XAPDziTOrE,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,614,621,40909,E,H
66,707255_aHraaFdw840Rvfqu_0108,aHraaFdw840Rvfqu,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,616,623,46731,E,H
67,729654_7FHd0e7O6m8Lh1h1_0114,7FHd0e7O6m8Lh1h1,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,739,745,41237,E,H
68,734095_XHnEDvDOVtev2YkW_0135,XHnEDvDOVtev2YkW,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,685,690,40712,E,H
69,793133_HMFm7Xu9SeBxybV1_0103,HMFm7Xu9SeBxybV1,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,673,680,41828,E,H
70,795525_9NULE1ETbQoEmopf_0111,9NULE1ETbQoEmopf,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,623,630,46578,E,H
71,801048_zHUHJIKP1DK8fyJB_0105,zHUHJIKP1DK8fyJB,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,656,663,39223,E,H
72,867552_90GpBPE1PDTAOjDA_0085,90GpBPE1PDTAOjDA,spoken tutorial project mhrd भारत सरकार द्वारा वित्त पोषित है,539,546,43054,E,H
73,164173_UciGI22ZXiZMUhaK_0104,UciGI22ZXiZMUhaK,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,593,599,29549,H,E
74,205273_XL1bEWMZOi9F7GtK_0091,XL1bEWMZOi9F7GtK,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,501,509,31344,H,E
75,275027_ar51KfOfGi7TtRGD_0111,ar51KfOfGi7TtRGD,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,530,538,33445,H,E
76,317381_MGeQKyCbsxxOp3O8_0131,MGeQKyCbsxxOp3O8,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,692,700,30643,H,E
77,343487_yFmxLx7vcG509WHj_0095,yFmxLx7vcG509WHj,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,694,700,24821,H,E
78,419198_jWdZLA4Sz4to4BpB_0074,jWdZLA4Sz4to4BpB,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,466,472,27185,H,E
79,476106_UTFKKSNANF1iy8iu_0087,UTFKKSNANF1iy8iu,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,645,651,30862,H,E
80,515068_VJ0kCx5gIVhWjCHq_0053,VJ0kCx5gIVhWjCHq,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,364,370,22588,H,E
81,577852_CbeP3DFQboq5EAYT_0135,CbeP3DFQboq5EAYT,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,546,554,29067,H,E
82,582014_gaotn6Trlu6LbYhW_0122,gaotn6Trlu6LbYhW,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,624,633,28367,H,E
83,598568_17eF1eYKevqtyi5z_0042,17eF1eYKevqtyi5z,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,277,285,42375,H,E
84,617567_AYZV76tROJuFRrUf_0144,AYZV76tROJuFRrUf,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,691,698,31256,H,E
85,673373_jBzyefOJ09gVzbDa_0108,jBzyefOJ09gVzbDa,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,518,524,27842,H,E
86,779395_6C5ZvqNiL348s75a_0089,6C5ZvqNiL348s75a,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,448,455,27388,H,E
87,854119_cnKUEOLuelcD03IG_0094,cnKUEOLuelcD03IG,अधिक जानकारी के लिए कृपया contact at spoken hyphen tutorial dot org पर लिखें,494,500,36448,H,E
88,178303_bxragcPFHMLMsmjr_0104,bxragcPFHMLMsmjr,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,543,548,26667,E,H
89,208711_z98W1r9OPyYYWZsZ_0074,z98W1r9OPyYYWZsZ,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,312,317,47264,E,H
91,277289_Z9cD5IbaDytwMt6R_0083,Z9cD5IbaDytwMt6R,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,500,504,28665,E,H
92,345601_RIcCNm64Dhwz0BqN_0097,RIcCNm64Dhwz0BqN,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,486,492,47568,E,H
93,370508_Pkfe2ljs0lLX5NN1_0080,Pkfe2ljs0lLX5NN1,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,446,453,47568,E,H
94,727902_Znen7HF4LvsWgSXU_0119,Znen7HF4LvsWgSXU,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,722,727,39022,E,H
95,805009_6gOLLVpZpUMVy2Xn_0078,6gOLLVpZpUMVy2Xn,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,448,454,35707,E,H
96,947382_3blY1NY0r4xkWi0p_0065,3blY1NY0r4xkWi0p,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाती है,473,477,28912,E,H
97,177090_zJ2VQoWbIjxtlTN3_0123,zJ2VQoWbIjxtlTN3,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,829,835,18409,E,H
98,320718_XvZ0rmmE67niOAPi_0107,XvZ0rmmE67niOAPi,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,887,895,27346,E,H
99,355302_jiKuZjyPvKtFlv2F_0094,jiKuZjyPvKtFlv2F,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,661,671,26564,E,H
100,407477_RrDSkEmNCnvQLvuB_0062,RrDSkEmNCnvQLvuB,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,442,452,29859,E,H
101,539354_C3MtnFEDrRkWHSvJ_0083,C3MtnFEDrRkWHSvJ,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,505,515,26770,E,H
102,541916_5DpOB0LmjVO8tse5_0104,5DpOB0LmjVO8tse5,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,501,506,16886,E,H
103,670130_aKXtLNXvGCpPlxMn_0090,aKXtLNXvGCpPlxMn,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,738,748,31918,E,H
104,812522_kyfc0UreJthzp1yh_0074,kyfc0UreJthzp1yh,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,524,534,53746,E,H
105,996368_n4ACC4gnqW0IM1wW_0082,n4ACC4gnqW0IM1wW,spoken tutorial project team कार्यशालाएं आयोजित करती है और प्रमाण पत्र देती है,605,613,25534,E,H
106,209556_rGDjaZFn3U3Xmfbo_0154,rGDjaZFn3U3Xmfbo,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,896,901,39331,E,H
107,242003_YyYCTSgsEHug56qT_0132,YyYCTSgsEHug56qT,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,804,810,57082,E,H
108,468877_3k5rc97nE4nYilxg_0109,3k5rc97nE4nYilxg,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,581,586,43862,E,H
109,503577_Ym6wFcvsJRHzm4yq_0086,Ym6wFcvsJRHzm4yq,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,500,507,42523,E,H
110,707034_JIbdP0zW3oq0wsvK_0166,JIbdP0zW3oq0wsvK,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,899,905,41637,E,H
112,818249_hbTLEoZb2P42vZ0X_0102,hbTLEoZb2P42vZ0X,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,596,602,47692,E,H
113,972699_yWc9lDlV5mMRgPJz_0122,yWc9lDlV5mMRgPJz,spoken tutorial project team spoken tutorials का उपयोग करके कार्यशालाएँ भी चलाती है,582,589,45838,E,H
114,398187_InElTSDpFScWDnx4_0072,InElTSDpFScWDnx4,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है,660,667,52181,E,H
115,515896_rybhHoKYhmLBvFIU_0054,rybhHoKYhmLBvFIU,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है,592,599,41802,E,H
116,571913_ExkzwBoxU7CYOr2l_0105,ExkzwBoxU7CYOr2l,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है,807,814,62847,E,H
117,682118_mb9MHVeHzYnGkDaV_0140,mb9MHVeHzYnGkDaV,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है,690,696,50533,E,H
119,939326_Yk9pbdfXH2wEGgPa_0112,Yk9pbdfXH2wEGgPa,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है,604,610,32618,E,H
120,993563_1r4kyTZ56cRwlgGT_0118,1r4kyTZ56cRwlgGT,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्त पोषित है,737,743,59059,E,H
121,136325_9qNmHPrUpNLAykHf_0100,9qNmHPrUpNLAykHf,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्तपोषित है,599,606,51460,E,H
122,271324_5H7YAVtlwZuAWxrP_0111,5H7YAVtlwZuAWxrP,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्तपोषित है,653,662,48556,E,H
123,340898_fameybgWTwz4UBK7_0130,fameybgWTwz4UBK7,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्तपोषित है,613,623,48597,E,H
124,344267_aZSahmWizlD17OIp_0055,aZSahmWizlD17OIp,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्तपोषित है,269,275,42749,E,H
126,604593_DS1kTGZefiUqTTuU_0174,DS1kTGZefiUqTTuU,spoken tutorial project nmeict mhrd भारत सरकार द्वारा वित्तपोषित है,831,838,40580,E,H
128,116077_xDrH2GG7J8zvYJbX_0123,xDrH2GG7J8zvYJbX,spoken tutorial project team: spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,530,534,37271,E,H
129,175138_TgzYUKW5Yk0qlxoJ_0137,TgzYUKW5Yk0qlxoJ,spoken tutorial project team: spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,552,556,38957,E,H
130,485176_VxquLalRIRShu5BD_0155,VxquLalRIRShu5BD,spoken tutorial project team: spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,906,910,37777,E,H
132,614575_m4dBwDpCilw26cUW_0067,m4dBwDpCilw26cUW,spoken tutorial project team: spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,568,581,47273,E,H
133,791503_ZSC4giDQ5OdUm1Vr_0157,ZSC4giDQ5OdUm1Vr,spoken tutorial project team: spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,672,677,47958,E,H
135,187699_rdv7dskMQfkxZG7s_0061,rdv7dskMQfkxZG7s,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,381,387,59321,E,H
136,413057_aKSsdMqkPfUWyYeS_0064,aKSsdMqkPfUWyYeS,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,407,412,53861,E,H
137,682098_mn8KjS5rb1MdPmyt_0077,mn8KjS5rb1MdPmyt,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,532,538,41107,E,H
138,797767_TRInoJRJxAX3qv5C_0064,TRInoJRJxAX3qv5C,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,405,410,43637,E,H
139,876898_RyQSvr4r4iAMTYXq_0090,RyQSvr4r4iAMTYXq,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,530,535,36891,E,H
141,991078_MFxL7Fh5U8s09yLC_0108,MFxL7Fh5U8s09yLC,spoken tutorial project team spoken tutorial का उपयोग करके कार्यशालाएँ भी चलाते हैं,646,652,48696,E,H
142,117174_psHCPTkdjFBXSwV1_0083,psHCPTkdjFBXSwV1,spoken tutorial project nmeict mhrd भारत सरकार द्वारा निधिबद्ध है,502,509,61682,E,H
143,356615_nxwMVpvFEMvwUlff_0106,nxwMVpvFEMvwUlff,spoken tutorial project nmeict mhrd भारत सरकार द्वारा निधिबद्ध है,642,648,47939,E,H
144,396164_ukezatX6TZqBsOjA_0152,ukezatX6TZqBsOjA,spoken tutorial project nmeict mhrd भारत सरकार द्वारा निधिबद्ध है,796,802,56464,E,H
145,539098_KMzwmY5Mi9f00Z4P_0131,KMzwmY5Mi9f00Z4P,spoken tutorial project nmeict mhrd भारत सरकार द्वारा निधिबद्ध है,672,678,46209,E,H
146,627241_zkHTeNsDXzBH2fZ8_0155,zkHTeNsDXzBH2fZ8,spoken tutorial project nmeict mhrd भारत सरकार द्वारा निधिबद्ध है,814,821,46559,E,H
147,937956_wSC8w1JHK2Kk1o2y_0144,wSC8w1JHK2Kk1o2y,spoken tutorial project nmeict mhrd भारत सरकार द्वारा निधिबद्ध है,764,771,45169,E,H
148,118960_4v26l1pFDQa5516K_0130,4v26l1pFDQa5516K,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,524,527,9548,E,H
149,137649_HhvBjZURdz7XIYk7_0090,HhvBjZURdz7XIYk7,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,588,591,14223,E,H
150,158925_pNGfrTvDDb647Ey1_0115,pNGfrTvDDb647Ey1,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,657,661,9218,E,H
151,165823_c8PZEsFmL6bKtJb7_0093,c8PZEsFmL6bKtJb7,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,522,525,13762,E,H
152,180696_GSUP9H9fbPzTvUJf_0113,GSUP9H9fbPzTvUJf,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,539,542,9613,E,H
153,223874_zsIypRjihgTGrcHR_0090,zsIypRjihgTGrcHR,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,487,490,14947,E,H
154,275027_ar51KfOfGi7TtRGD_0109,ar51KfOfGi7TtRGD,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,522,525,18568,E,H
155,286444_YiMohOANQrZ3zOrz_0108,YiMohOANQrZ3zOrz,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,452,455,11923,E,H
157,323270_VCSfxkLsWnQ7UVV5_0121,VCSfxkLsWnQ7UVV5,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,705,708,9205,E,H
158,349227_ODtJyqXnjew03ma0_0114,ODtJyqXnjew03ma0,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,422,425,17359,E,H
159,353135_cUAvXdre2bPJDSDI_0071,cUAvXdre2bPJDSDI,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,358,361,17668,E,H
160,366535_gkzCumUVQV2C6K24_0100,gkzCumUVQV2C6K24,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,458,461,17051,E,H
161,367739_tKFrZ549BuwTkVhh_0193,tKFrZ549BuwTkVhh,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,880,883,13900,E,H
163,394720_fymAL90cDPGqkbLm_0113,fymAL90cDPGqkbLm,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,586,589,16247,E,H
164,415128_riwQQ9Di2QY1QXwx_0138,riwQQ9Di2QY1QXwx,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,749,752,14950,E,H
166,432058_AXWa8Ixqg5APR0Aa_0138,AXWa8Ixqg5APR0Aa,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,570,573,10873,E,H
167,461782_77pTLvTELZ8nMgvA_0101,77pTLvTELZ8nMgvA,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,589,592,15877,E,H
168,491993_TIbfwCAMwCv4UC9o_0113,TIbfwCAMwCv4UC9o,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,611,615,15403,E,H
173,559236_Zhq1JsHVcjapPnAR_0144,Zhq1JsHVcjapPnAR,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,647,651,13920,E,H
175,576814_d4zRuOTz9FavqkHF_0129,d4zRuOTz9FavqkHF,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,671,675,12108,E,H
178,648590_eVGKFYqaM3Z8aA8p_0117,eVGKFYqaM3Z8aA8p,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,618,622,15485,E,H
180,662206_YD3YNMurzC1f00LK_0126,YD3YNMurzC1f00LK,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,566,569,13035,E,H
181,673373_jBzyefOJ09gVzbDa_0106,jBzyefOJ09gVzbDa,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,511,514,22363,E,H
184,731149_IxnVksWNnpdI5EQp_0091,IxnVksWNnpdI5EQp,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,486,489,10440,E,H
187,753781_NNWOZMOb5icMs6te_0075,NNWOZMOb5icMs6te,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,377,380,14147,E,H
194,954992_jXuIqtM7G1cgaCl2_0132,jXuIqtM7G1cgaCl2,spoken tutorials का उपयोग करके कार्यशालाएं चलाती है,565,568,13220,E,H
196,109686_HILoR2Or4G6QybRM_0074,HILoR2Or4G6QybRM,online test pass करने वालों को प्रमाणपत्र भी देते हैं,455,458,20139,E,H
197,126437_RYJ2gSQyCu0PM2cq_0090,RYJ2gSQyCu0PM2cq,online test pass करने वालों को प्रमाणपत्र भी देते हैं,547,551,16803,E,H
199,208711_z98W1r9OPyYYWZsZ_0075,z98W1r9OPyYYWZsZ,online test pass करने वालों को प्रमाणपत्र भी देते हैं,317,321,17298,E,H
200,209556_rGDjaZFn3U3Xmfbo_0155,rGDjaZFn3U3Xmfbo,online test pass करने वालों को प्रमाणपत्र भी देते हैं,901,904,13282,E,H
201,242003_YyYCTSgsEHug56qT_0133,YyYCTSgsEHug56qT,online test pass करने वालों को प्रमाणपत्र भी देते हैं,810,813,14641,E,H
202,244699_DlbETdT8118YRduH_0091,DlbETdT8118YRduH,online test pass करने वालों को प्रमाणपत्र भी देते हैं,478,482,27347,E,H
203,270891_D97fJxqasgTlJNxe_0074,D97fJxqasgTlJNxe,online test pass करने वालों को प्रमाणपत्र भी देते हैं,408,411,16618,E,H
204,278951_ZrRFAewtB9ghE37y_0098,ZrRFAewtB9ghE37y,online test pass करने वालों को प्रमाणपत्र भी देते हैं,446,451,16268,E,H
205,286444_YiMohOANQrZ3zOrz_0109,YiMohOANQrZ3zOrz,online test pass करने वालों को प्रमाणपत्र भी देते हैं,455,459,18698,E,H
